document_id,hazard_type,location,affected_assets,time_horizon,severity_or_likelihood,source_page,found,source_text
danone_2024_report_6f79,,,,,,0,False,
diageo_2023_report_a28c,water stress,water-stressed areas,operations,2026,high,8,True,
diageo_2023_report_a28c,drought,water-stressed areas,operations,2026,high,9,True,
diageo_2023_report_a28c,extreme weather events,catchment areas,business resilience,not specified,high,9,True,
diageo_2023_report_a28c,water stress,Ireland,,,high,10,True,
diageo_2023_report_a28c,drought,Ireland,,,high,10,True,
diageo_2023_report_a28c,extreme weather events,Kildare,,,medium,10,True,
heineken_n_v_2024_report_6acd,,,,,,0,False,
kerry_group_2025_report_3ad5,,,,,,0,False,
nestl_2024_report_2ce8,water stress,not specified,raw materials,long term,high,41,True,
nestl_2024_report_2ce8,drought,not specified,raw materials,long term,high,41,True,
nestl_2024_report_2ce8,flooding,not specified,existing sites and greenfield projects,short to medium term,high,57,True,
nestl_2024_report_2ce8,extreme heat,not specified,raw materials,long term,high,41,True,
nestl_2024_report_2ce8,storms,not specified,existing sites and greenfield projects,short to medium term,high,57,True,
nestl_2024_report_2ce8,extreme weather events,not specified,operational capabilities and assets,short to medium term,increased,63,True,
nestl_2024_report_2ce8,temperature changes,not specified,key raw materials,long term,high,41,True,
nestl_2024_report_2ce8,precipitation changes,not specified,existing sites and greenfield projects,short to medium term,high,57,True,
nestl_2024_report_2ce8,wildfires,not specified,not specified,not mentioned,not mentioned,0,True,
nestl_2024_report_2ce8,ocean warming,not specified,not specified,not mentioned,not mentioned,0,True,
nestl_2024_report_2ce8,water stress,not specified,,,high,41,True,
nestl_2024_report_2ce8,drought,not specified,,,high,41,True,
nestl_2024_report_2ce8,flooding,not specified,,,high,41,True,
nestl_2024_report_2ce8,extreme heat,not specified,,,high,41,True,
nestl_2024_report_2ce8,storms,not specified,,,high,41,True,
nestl_2024_report_2ce8,extreme weather events,not specified,,,high,41,True,
nestl_2024_report_2ce8,temperature changes,not specified,,,high,41,True,
nestl_2024_report_2ce8,precipitation changes,not specified,,,high,41,True,
pernod_ricard_2023_report_6256,water stress,Champagne and Cognac AOC,vineyards,not specified,increased risk,8,True,
pernod_ricard_2023_report_6256,extreme heat,Champagne and Cognac AOC,vineyards,not specified,increased risk,8,True,
pernod_ricard_2023_report_6256,flooding,Champagne and Cognac AOC,vineyards,not specified,increased risk,8,True,
pernod_ricard_2023_report_6256,precipitation changes,Champagne and Cognac AOC,vineyards,not specified,increased risk,8,True,
pernod_ricard_2023_report_6256,extreme weather events,Champagne and Cognac AOC,vineyards,not specified,increased risk,8,True,
pernod_ricard_2023_report_6256,water stress,Champagne,,,high,8,True,
pernod_ricard_2023_report_6256,extreme heat,Champagne,,,high,8,True,
pernod_ricard_2023_report_6256,flooding,Champagne,,,high,8,True,
pernod_ricard_2023_report_6256,extreme weather events,Champagne,,,high,8,True,
pernod_ricard_2023_report_6256,water stress,Cognac,,,high,8,True,
pernod_ricard_2023_report_6256,extreme heat,Cognac,,,high,8,True,
pernod_ricard_2023_report_6256,flooding,Cognac,,,high,8,True,
pernod_ricard_2023_report_6256,extreme weather events,Cognac,,,high,8,True,
pernod_ricard_espa_a_2024_report_63aa,,,,,,0,False,
